time_period,SE,disease_cases,location
2023/7/30,202331,602,loc1
2023/8/6,202332,536,loc1
2023/8/13,202333,534,loc1
2023/8/20,202334,505,loc1
2023/8/27,202335,459,loc1
2023/9/3,202336,444,loc1
2023/9/10,202337,550,loc1
2023/9/17,202338,518,loc1
2023/9/24,202339,446,loc1
2023/10/1,202340,472,loc1
2023/10/8,202341,380,loc1
2023/10/15,202342,464,loc1
2023/10/22,202343,449,loc1
2023/10/29,202344,477,loc1
2023/11/5,202345,703,loc1
2023/11/12,202346,569,loc1
2023/11/19,202347,895,loc1
2023/11/26,202348,980,loc1
2023/12/3,202349,1138,loc1
2023/12/10,202350,1395,loc1
2023/12/17,202351,1063,loc1
2023/12/24,202352,943,loc1
